11,"ในการจัดกลุ่มงานของตำรวจ ""ฝ่ายอำนวยการ"" ถือว่าเป็นกลุ่มงานลักษณะใด",11กลุ่มงานด้านการบริหาร,02กลุ่มงานด้านการปฏิบัติการ,03กลุ่มงานด้านกิจการพิเศษ,04กลุ่มงานด้านธุรการ
12,ตำรวจได้นำแนวทางในการดำเนินงานของฝ่ายอำนวยการของส่วนราชการใด มาประยุกต์ใช้,01กระทรวงมหาดไทย,12ทหาร,03กรมการปกครอง,04ถูกทุกข้อ
13,ข้อใดถูกต้องที่สุด,01การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ มีความแตกต่างกันออกไป โดยขึ้นอยู่กับขนาดของพื้นที่ที่รับผิดชอบของแต่ละหน่วยงาน ,12การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ มีความแตกต่างกันออกไป โดยขึ้นอยู่กับลักษณะของงาน และความจำเป็นเหมาะสมของแต่ละหน่วยงาน,03การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ เป็นไปในลักษณะเดียวกัน ,04การจัดงานฝ่ายอำนวยการของทุกกองบัญชาการเป็นไปในลักษณะเดียวกัน 
14,ผู้ที่รับผิดชอบให้ความช่วยเหลือผู้บังคับบัญชาด้วยการปฏิบัติงานในหน้าที่ที่ต้องการความชำนาญ,01ฝ่ายอำนวยการหลัก,02ฝ่ายอำนวยการประสานงาน,13ฝ่ายอำนวยการพิเศษ,04ฝ่ายอำนวยการประจำตัว
15,ฝ่ายอำนวยการประจำตัว มีหน้าที่ความรับผิดชอบในเรื่องใด,01ช่วยเหลือในการจัดตารางเวลาการปฏิบัติราชการให้แก่ผู้บังคับบัญชา,02ให้คำแนะนำแก่ผู้บังคับบัญชาในส่วนที่เกี่ยวกับงานด้านเทคนิคต่างๆ,03การปฏิบัติงานด้านธุรการของผู้บังคับบัญชา,14ถูกทั้งข้อ 1. และ 3.
16,ข้อใดเป็นแนวทางในการให้ข้อมูลข่าวสารของฝ่ายอำนวยการ ที่ถูกต้อง ,01รวบรวมข้อมูลข่าวสารที่มีอยู่ในแต่ละงาน และกำหนดให้มีระบบรายงานข้อมูลข่าวสารในแต่ละเรื่อง ให้สามารถทราบข้อมูลข่าวสารที่ถูกต้อง และทันสมัยอยู่ตลอดเวลา,02จัดระเบียบของข้อมูลข่าวสาร และประเมินค่าความถูกของข้อมูลข่าวสารที่อาจมีความเปลี่ยนแปลงไปจากข้อเท็จจริง หรืออาจมีการเปลี่ยนแปลงไปตามห้วงระยะเวลา,03การเสนอข้อมูลข่าวสารให้กับผู้บังคับบัญชา จะต้องดำเนินการอย่างรวดเร็วและสมบูรณ์ รวมทั้งจะต้องมีการประสานข้อมูลข่าวสารที่มีอยู่และได้รับมากับฝ่ายอำนวยการอื่น ๆ ที่เกี่ยวข้อง หรืออาจมีผลกระทบถึง,14ถูกทุกข้อ
17,การสรุปผลการวิเคราะห์ข้อมูลข่าวสารให้กับผู้บังคับบัญชา จะต้องมีเนื้อหาสาระที่ครบคลุมถึง,01ข้อสรุปเกี่ยวกับปัจจัยหรือข้อมูลที่สำคัญที่อาจจะมีผลกระทบต่อการปฏิบัติงาน ,02สรุปผลการวิเคราะห์ของฝ่ายอำนวยการ ในการใช้ทรัพยากรที่มีอยู่เพื่อปฏิบัติงานในภารกิจนั้น ๆ โดยจะมีผลเสีย หรือจะมีผลกระทบที่เกิดขึ้นตามมาน้อยที่สุด และสามารถบรรลุวัตถุประสงค์ที่ต้องการได้อย่างสมบูรณ์ที่สุด,13ถูกทั้งข้อ 1. และ 2.,04ผิดทั้งข้อ 1. และ 2.
18,ข้อใดคือลักษณะในการให้ข้อเสนอแนะของฝ่ายอำนวยการ ที่ถูกต้อง ,11ฝ่ายอำนวยการจะต้องวิเคราะห์แนวทางปฏิบัติ ตลอดจนผลกระทบที่จะเกิดตามมาจากการปฏิบัติ ให้ผู้บังคับบัญชาทราบ และให้ข้อเสนอในแนวทางการปฏิบัติที่ฝ่ายอำนวยการพิจารณาเห็นว่าเป็นแนวทางการปฏิบัติที่ถูกต้องและเหมาะสมที่สุด,02มุ่งเน้นในการให้คำแนะนำต่อผู้บังคับบัญชาในส่วนที่เกี่ยวข้องกับงานในหน้าที่ของฝ่ายอำนวยการนั้น ๆ เพื่อชักจูงผู้บังคับบัญชาให้ตกลงใจกระทำการอย่างหนึ่งอย่างใดตามที่ฝ่ายอำนวยการต้องการ,03การให้ข้อเสนอแนะของฝ่ายอำนวยการยังรวมถึงการให้ข้อเสนอกับฝ่ายอำนวยการอื่น ๆ แต่ไม่รวมถึงหน่วยงานอื่นที่เกี่ยวข้องในการปฏิบัติงาน,04ฝ่ายอำนวยการจะต้องวิเคราะห์แนวทางปฏิบัติ ตลอดจนผลกระทบที่จะเกิดตามมาจากการปฏิบัติ ให้ผู้บังคับบัญชาทราบ และให้ข้อเสนอในแนวทางการปฏิบัติให้มากที่สุดเท่าที่ฝ่ายอำนวยการจะคิดได้ 
19,ข้อใดเป็นแนวทางในการทำแผน/คำสั่ง และการกำกับดูแลการปฏิบัติตามแผน/คำสั่งของฝ่ายอำนวยการ ที่ถูกต้อง ,01ฝ่ายอำนวยการแต่ละฝ่ายจะต้องแปลงเจตนารมณ์ของผู้บังคับบัญชาที่เกี่ยวข้องในสายงานของตน เสนอให้หัวหน้าฝ่ายอำนวยการเป็นผู้พิจารณาลงนามประกาศใช้ให้ทันต่อสถานการณ์,12การจัดทำแผน/คำสั่งจะต้องมีการประสานงานระหว่างฝ่ายอำนวยการต่าง ๆ อย่างใกล้ชิด เพื่อให้แนวทางการปฏิบัติตามแผน/คำสั่งเกิดความสอดคล้องกัน,03กรณีที่หน่วยปฏิบัติตามแผน/คำสั่งเกิดมีปัญหาขัดข้องในการปฏิบัติ ฝ่ายอำนวยการต้องสั่งการแก้ไขปัญหาให้เท่าทันต่อสถานการณ์,04ฝ่ายอำนวยการจะต้องพึงระลึกอยู่เสมอว่าความรับผิดชอบในการปฏิบัติการเป็นความรับผิดชอบของทั้งผู้บังคับหน่วยปฏิบัติการและฝ่ายอำนวยการ ดังนั้นฝ่ายอำนวยการจะต้องเข้าร่วมลงมือปฏิบัติตามแผนตลอดการดำเนินการตามแผน 
20,ข้อใดเป็นเครื่องมือที่ใช้ในการพัฒนาปรับปรุงการปฏิบัติงานในหน้าที่ของฝ่ายอำนวยการได้อย่าง เป็นระบบ ,01การกำกับดูแลของฝ่ายอำนวยการ,02การจัดทำแผนและคำสั่งของฝ่ายอำนวยการ,13การวิจัยของฝ่ายอำนวยการ,04การเยี่ยมเยียนของฝ่ายอำนวยการ
21,ข้อใดถูกต้อง,11ฝ่ายอำนวยการหมายถึงผู้ที่ทำหน้าที่ช่วยเหลือผู้บังคับบัญชาให้สามารถปฏิบัติภารกิจได้อย่างสมบูรณ์,02ฝ่ายอำนวยการหมายถึงผู้ที่ทำหน้าที่ตัดสินใจแทนผู้บังคับบัญชา,03ฝ่ายอำนวยการหมายถึงผู้สั่งการแทนผู้บังคับบัญชา,04ถูกทุกข้อ
22,ข้อใดไม่ใช่ งานหลักของฝ่ายอำนวยการ ,01งานกำลังพล ,02งานข่าว ,13งานเทคโนโลยี,04งานแผนงานและยุทธศาสตร์ 
23,ข้อใดมิใช่ พันธกิจของฝ่ายอำนวยการตำรวจ,01การให้ข้อมูลข่าวสาร ,12การประเมินผลการปฏิบัติงาน,03การประมาณการ (การวิเคราะห์ข้อมูลข่าวสาร) ,04การทำแผน/คำสั่ง และการกำกับดูแลการปฏิบัติตามแผน/คำสั่ง
24,ในการปฏิบัติหน้าที่ของฝ่ายอำนวยการ ข้อใดถูกต้อง,11ฝ่ายอำนวยการจะต้องเป็นผู้ให้ข้อมูลข่าวสารในส่วนที่เกี่ยวข้องกับงานในหน้าที่ของฝ่ายอำนวยการนั้น ๆ อย่างครบถ้วนสมบูรณ์ต่อผู้บังคับบัญชา,02ในการวิเคราะห์ข้อมูลข่าวสารของฝ่ายอำนวยการ จะต้องได้รับคำสั่งของผู้บังคับบัญชาให้ดำเนินการเสียก่อน,03การให้ข้อเสนอแนะของฝ่ายอำนวยการ มุ่งเน้นในการจูงใจผู้บังคับบัญชาให้ตกลงใจกระทำการอย่างหนึ่งอย่างใด ,04ในกรณีที่หน่วยปฏิบัติตามแผน/คำสั่งเกิดมีปัญหาขัดข้องในการปฏิบัติ ฝ่ายอำนวยการไม่สามารถเสนอข้อมูลข่าวสารให้กับผู้บังคับบัญชาทราบเพื่อสั่งการแก้ไขปัญหาได้
25,ในเรื่องการประสานงานของฝ่ายอำนวยการ ข้อใดถูกต้อง,01การประสานงานภายในของฝ่ายอำนวยการช่วยทำให้การทำงานของฝ่ายอำนวยการตามแผน/คำสั่งของผู้บังคับบัญชา มุ่งหวังให้เกิดความสอดคล้องกันเพียงอย่างเดียว,12ฝ่ายอำนวยการจะต้องแก้ไขปัญหาข้อขัดแย้งระหว่างฝ่ายอำนวยการฝ่ายต่าง ๆ ที่อาจเกิดขึ้น จากการปฏิบัติตามแผน/คำสั่งของผู้บังคับบัญชา,03หัวหน้าฝ่ายอำนวยการ ไม่สามารถผู้กำหนดระเบียบหรือแนวทางในการประสานงานของฝ่ายอำนวยการ,04แนวทางปฏิบัติในการประสานงาน มีเพียง 2 วิธี ได้แก่ การแจกจ่ายข้อมูลข่าวสารสำคัญ และ การติดต่อประสานงานโดยตรง
26,ข้อใดไม่ใช่ส่วนประกอบของข้อพิจารณาของฝ่ายอำนวยการ,01เรื่องเดิม ,02ข้อเท็จจริง ,13ข้อประมาณการ,04ข้อเสนอแนะ
27,ข้อใดไม่ถูกต้อง,01การจัดงานฝ่ายอำนวยการของแต่ละทุกกองบัญชาการอาจไม่เป็นไปในลักษณะเดียวกัน ,02การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ ไม่เป็นไปในลักษณะเดียวกัน ,03การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ มีความแตกต่างกันออกไป โดยขึ้นอยู่กับลักษณะของงาน และความจำเป็นเหมาะสมของแต่ละหน่วยงาน,14การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ มีความแตกต่างกันออกไป โดยขึ้นอยู่กับขนาดของพื้นที่ที่รับผิดชอบของแต่ละหน่วยงาน 
28,ข้อใดคือลักษณะในการให้ข้อเสนอแนะของฝ่ายอำนวยการ ที่ไม่ถูกต้อง ,01ฝ่ายอำนวยการจะต้องวิเคราะห์แนวทางปฏิบัติ ตลอดจนผลกระทบที่จะเกิดตามมาจากการปฏิบัติ ให้ผู้บังคับบัญชาทราบ และให้ข้อเสนอในแนวทางการปฏิบัติที่ฝ่ายอำนวยการพิจารณาเห็นว่าเป็นแนวทางการปฏิบัติที่ถูกต้องและเหมาะสมที่สุด,02มุ่งเน้นในการให้คำแนะนำต่อผู้บังคับบัญชาในส่วนที่เกี่ยวข้องกับงานในหน้าที่ของฝ่ายอำนวยการนั้น ๆ ไม่เป็นการบีบบังคับผู้บังคับบัญชาให้ตกลงใจกระทำการอย่างหนึ่งอย่างใด โดยไม่สามารถเลือกหนทางปฏิบัติอื่นได้,03การให้ข้อเสนอแนะของฝ่ายอำนวยการยังรวมถึงการให้ข้อเสนอกับฝ่ายอำนวยการอื่น ๆ และหน่วยงานที่เกี่ยวข้องในการปฏิบัติงาน,14ฝ่ายอำนวยการจะต้องวิเคราะห์แนวทางปฏิบัติ ตลอดจนผลกระทบที่จะเกิดตามมาจากการปฏิบัติ ให้ผู้บังคับบัญชาทราบ และให้ข้อเสนอในแนวทางการปฏิบัติให้มากที่สุดเท่าที่ฝ่ายอำนวยการจะคิดได้ 4
29,ข้อใดเป็นแนวทางในการทำแผน/คำสั่ง และการกำกับดูแลการปฏิบัติตามแผน/คำสั่งของฝ่ายอำนวยการ ที่ไม่ถูกต้อง,11ฝ่ายอำนวยการแต่ละฝ่ายจะต้องแปลงเจตนารมณ์ของผู้บังคับบัญชาที่เกี่ยวข้องในสายงานของตน เสนอให้หัวหน้าฝ่ายอำนวยการเป็นผู้พิจารณาลงนามประกาศใช้ให้ทันต่อสถานการณ์,02การจัดทำแผน/คำสั่งจะต้องมีการประสานงานระหว่างฝ่ายอำนวยการต่าง ๆ อย่างใกล้ชิด เพื่อให้แนวทางการปฏิบัติตามแผน/คำสั่งเกิดความสอดคล้องกัน,03กรณีที่หน่วยปฏิบัติตามแผน/คำสั่งเกิดมีปัญหาขัดข้องในการปฏิบัติ ฝ่ายอำนวยการสามารถเสนอข้อมูลข่าวสารให้กับผู้บังคับบัญชาทราบและสั่งการแก้ไขปัญหาได้,04ฝ่ายอำนวยการจะต้องพึงระลึกอยู่เสมอว่าความรับผิดชอบในการปฏิบัติการเป็นความรับผิดชอบของผู้บังคับหน่วยปฏิบัติการ ฝ่ายอำนวยการจะต้องไม่แทรกแซง 
30,ข้อใดเป็นเครื่องมือในการปฏิบัติงานของฝ่ายอำนวยการ,01แฟ้มนโยบาย,02บันทึก,03แผนที่สถานการณ์,14ถูกทุกข้อ
31,งานฝ่ายอำนวยการหลักแบ่งได้เป็นกี่สายงาน,014 สายงาน,023สายงาน,135 สายงาน,046 สายงาน
32,ฝ่ายอำนวยการที่ดี จะต้องช่วยเหลือผู้บังคับบัญชา ในด้านใดบ้าง,01ให้ข้อมูลข่าวสาร,02ให้ข้อเสนอแนะ,03จัดทำแผน/คำสั่ง,14ถูกทุกข้อ
33,พันธกิจของฝ่ายอำนวยการโดยปกติ มีอยู่กี่ประการ,14,125,36,47
34,ฝ่ายอำนวยการต้องช่วยเหลือผู้บังคับบัญชาเพื่อให้มั่นใจได้ว่า,01ทรัพยากรบริหารของหน่วยงานถูกใช้ไปอย่างเป็นประโยชน์สูงสุด,02สามารถบรรลุวัตถุประสงค์ที่ต้องการได้อย่างสมบูรณ์,03สามารถแก้ปัญหาที่เกิดขึ้นได้อย่างถูกต้องและทันเวลา,14ถูกทุกข้อ
35,ข้อใดเป็นอำนาจหน้าที่ของ สตช.,01รักษาความปลอดภัยสถาบันพระมหากษัตริย์,02ดูแลควบคุมและกำกับการปฏิบัติงานของข้าราชการตำรวจซึ่งปฏิบัติตาม ป. วิอาญา,03ป้องกันและปราบปรามการกระทำผิดทางอาญา ,14ถูกทุกข้อ
36,สำนักงานตำรวจแห่งชาติ แบ่งส่วนราชการออกเป็นกี่ส่วน,12,122,34,45
37,"""ก.ต.ช."" ตาม พ.ร.บ. ตำรวจแห่งชาติ พ.ศ. 2547 ย่อมาจากอะไร",01คณะกรรมการตำรวจแห่งชาติ,12คณะกรรมการนโยบายตำรวจแห่งชาติ,03คณะกรรมการาชการตำรวจ,04คณะกรรมการกรมตำรวจแห่งชาติ
38,บุคคลใดเป็นผู้บังคับบัญชาข้าราชการตำรวจในสำนักงานตำรวจแห่งชาติ ,01ผู้บัญชาการตำรวจแห่งชาติ ,12นายกรัฐมนตรี ,03จเรตำรวจแห่งชาติ ,04ถูกทุกข้อ
39,ข้อใดคือทรัพยากรการบริหารของหน่วยงาน,01กำลังพล,02งบประมาณ,03สิ่งอุปกรณ์,14ถูกทุกข้อ
40,หน้าที่ในการช่วยเหลือผู้บังคับบัญชาให้สามารถปฏิบัติภารกิจได้อย่างสมบูรณ์ของฝ่ายอำนวยการ ได้แก่,11ประสานงาน,02บัญชาการ,03ตัดสินใจ,04สังการ
41,ข้อใดมิใช่ พันธกิจของฝ่ายอำนวยการตำรวจหน้าที่ในการช่วยเหลือผู้บังคับบัญชา,01วิเคาระห์ข้อมูล,12ตัดสินใจ,03ให้ข้อมูลข่าวสาร,04จัดทำแผน
42,หน้าที่ของฝ่ายอำนวยการพิเศษ มีความสัมพันธ์ใกล้ชิดกับเรื่องเทคนิค ได้แก่,01การสื่อสาร,02การประมวลผลข้อมูล,03ให้ข้อมูลข่าวสาร,14ข้อ1. และ2. ถูก
43,การให้ความช่วยเหลือต่อผู้บังคับบัญชาของฝ่ายอำนวยการพิเศษ ทำได้โดย,01การให้คำแนะนำ,02การให้ข้อมูลข่าวสาร ,03การให้ข้อเสนอแนะ,14ถูกทุกข้อ
44,ตำแหน่งนายเวร ถือว่าเป็นฝ่ายอำนวยการประเภทใด,11ฝ่ายอำนวยการประจำตัว,02ฝ่ายอำนวยการพิเศษ,03ฝ่ายอำนวยการประสานงาน,04ฝ่ายอำนวยการหลัก
45,นายตำรวจประจำสำนักงาน คือ,01ฝ่ายอำนวยการพิเศษ,12ฝ่ายอำนวยการประจำตัว,04ฝ่ายอำนวยการหลัก,03ฝ่ายอำนวยการประสานงาน
46,ฝ่ายอำนวยการประจำตัว มีหน้าที่ความรับผิดชอบในเรื่องใด,01รักษาความปลอดภัยให้กับผู้บังคับบัญชา,02รับรองผู้มาติดต่อราชการกับผู้บังคับบัญชา,03กำกับดูแลเจ้าหน้าที่ธุรก่รของสำนักงานผู้บังคับบัญชา,14ถูกทุกข้อ
47,ข้อใดมิใช่หน้าที่ของฝ่ายอำนวยการประจำตัว,11ตัดสินใจแทนผู้บังคับการ,02กำกับดูแลพลขับของผู้บัญชาการ,03จัดตารางการปฏิบัติราชการของผู้บังคับการ,04อำนวยความสะดวกให้ผู้บัญชาการ
48,"ข้อใดมีความหมายเดียวกับ""การประมาณการ""",01การให้ข้อมูลข่าวสาร,12การวิเคราะห์ข้อมูลข่าวสาร,03การให้ข้อเสนอแนะ,04การกำกับดูแล
49,การปฏิบัติหน้าที่ร่วมทั้ง 5 ประการของฝ่ายอำนวยการอย่างสมบูรณ์ ควรมีลักษณะใด,11ต้องครบถ้วนทั้ง 5 ประการ,02ต้องปฏิบัติอย่างน้อย 4 ประการ,03ต้องปฏิบัติอย่างน้อย 3 ประการ,03ต้องปฏิบัติอย่างน้อย 2 ประการ
50,ข้อใดคือแนวทางดำเนินการในการให้ข้อมูลข่าวสารของฝ่ายอำนวยการ,01รวบรวมข้อมูลข่าวสารที่มีอยู่ในแต่ละงาน ,02ประเมินค่าความถูกต้องของข้อมูลข่าวสาร,03จัดระเบียบข้อมูลข่าวสาร,14ถูกทุกข้อ
51,ข้อใดคือการเสนอข้อมูลข่าวสารให้ผู้บังคับบัญชาที่ดี,11รวดเร็วและสมบูรณ์,02รวดเร็วเป็นหลักสำคัญ,03ข้อมูลสมบูรณ์เป็นหลักสำคัญ,04ข้อมูลทันสมัยเป็นหลัก
